,url,nombre,resumen,especialidad,sector,tamaño_empresa,fundacion,sitio_web,teléfono
0,https://www.linkedin.com/company/eurostarmediagroup/,EUROSTAR MEDIAGROUP,"Calle Velázquez, 50, Madrid, Madrid 28001, ES","Multimedia, Audiovisual, Apps, Webs, Creación de contenidos, Gestión cultural, Big Data, Estudios de mercado, Sondeos de opinión, Interactividad y Gestión de concursos",51-200 empleados,"25 en LinkedIn
Incluye los miembros que han indicado a EUROSTAR MEDIAGROUP como empresa actual (también a los que tienen un puesto a media jornada).",2002,http://www.eurostarmediagroup.es,
1,https://www.linkedin.com/company/arkeero/,Arkeero,"Arkeero es una empresa de Marketing Digital, especializada en resultados y compuesta por especialistas con más de 15 años de experiencia en el sector. Desde sus comienzos, Arkeero ha invertido en el desarrollo de tecnología propia y capital humano, habiendo conseguido reunir al mejor equipo de ingenieros que busca a diario las soluciones tecnológicas que mejor se adaptan a las necesidades de cada cliente.


Hermes permite optimizar y realizar envíos publicitarios de Email Marketing y Perseo, innovadora tecnología de ad-serving, aporta capas de profundidad a las campañas acompañando al usuario durante su navegación, para poder ofrecerle productos y servicios que sean verdaderamente relevantes para él.

Gracias a estas soluciones tecnológicas y la visión única de sus especialistas, Arkeero consigue generar más y mejores resultados en las campañas de publicidad online, optimizando la inversión al máximo y generando.

Todo esto es posible gracias a su capacidad de gestionar las ingentes cantidades de DATA propia y de terceros que maneja en sus campañas.

Arkeero es poseedor de bases de datos categorizadas en países como España, Portugal, Francia, Italia, Canadá, EEUU, Brasil, México, Australia… España, Italia, Francia, Reino Unido, Holanda, Paises Nordicos, México, Argentina, Brasil, Australia y Estados Unicos y trabaja con partners estratégicos a nivel global lo que le permite producir campañas en multitud de mercados.

Arkeero es miembro de la IAB y de ADIGITAL.","Email Retargeting, Lead Generation, Cross-Channel Digital Advertising, Brand Intelligence, Data Management, Video, Permission Email Marketing, Display Advertising, Display Retargeting, Dynamic Ads y Video Email",51-200 empleados,"77 en LinkedIn
Incluye los miembros que han indicado a Arkeero como empresa actual (también a los que tienen un puesto a media jornada).",2013,http://www.arkeero.com,
2,https://www.linkedin.com/company/snowflake-computing/,Snowflake,"Snowflake delivers the Data Cloud — a global network where thousands of organizations mobilize data with near-unlimited scale, concurrency, and performance. Inside the Data Cloud, organizations unite their siloed data, easily discover and securely share governed data, and execute diverse analytic workloads. Wherever data or users live, Snowflake delivers a single and seamless experience across multiple public clouds. Snowflake’s platform is the engine that powers and provides access to the Data Cloud, creating a solution for data warehousing, data lakes, data engineering, data science, data application development, and data sharing. Join Snowflake customers, partners, and data providers already taking their businesses to new frontiers in the Data Cloud.",Unknown,1001-5000 empleados,"5463 en LinkedIn
Incluye los miembros que han indicado a Snowflake como empresa actual (también a los que tienen un puesto a media jornada).","Data Warehousing, Cloud, Analytics, Data Lake, Marketing Analytics, Data Applications, Data Engineering, Data Science y Data Exchange",http://www.snowflake.com,Unknown
3,https://www.linkedin.com/company/devoteam/,Devoteam,"Devoteam es una consultora líder centrada en estrategia digital, plataformas tecnológicas y ciberseguridad. Combinando la creatividad, la tecnología y el conocimiento de los datos, ayudamos a nuestros clientes a transformar su negocio y desbloquear el futuro. Con 25 años de experiencia y 8.500 empleados en Europa y Oriente Medio, Devoteam promueve la tecnología responsable para las personas y trabaja para crear un cambio a mejor. 

Con aproximadamente 850 empleados en España, entre su sede central en Madrid y oficinas en Barcelona, Zaragoza, Bilbao y Granada, el equipo de Devoteam Spain pone al servicio de sus clientes, una muy importante experiencia en las diferentes tecnologías, plataformas y soluciones de TI.",Unknown,5001-10.000 empleados,"8726 en LinkedIn
Incluye los miembros que han indicado a Devoteam como empresa actual (también a los que tienen un puesto a media jornada). También incluye a los empleados de filiales: Devoteam Norge,Devoteam México,Devoteam A Cloud y 16 más.","IT Transformation, Network Transformation, Cloud Transformation, Digital Business Transformation, Risk & Security, IT Service Excellence, Data, Business consulting y Product Design",http://www.devoteam.com,Unknown
4,https://www.linkedin.com/company/-lamoconsulting/,ÁlamoConsulting,"ÁlamoConsulting es una compañía de consultoría especializada en Tecnologías de la Información (TIC), Estrategia y Gestión del mercado español. Líder en España en Reporting Regulatorio para Banca-Finanzas con 10 años de experiencia y acompañamiento a entidades financieras en el cumplimiento de las exigencias normativas y reporting de estados financieros.

Nuestra firma se fundó en 2007 por un grupo de profesionales con una contrastada experiencia en el sector y con un objetivo principal: aportar valor a nuestros clientes, acompañándolos en sus retos y necesidades, prestando el asesoramiento necesario e identificando y desarrollando las mejores soluciones tecnológicas desde el compromiso, experiencia y liderazgo tecnológico. Desde entonces, ÁlamoConsulting es una compañía en continua expansión. Proporcionamos valor añadido, eficiencia e innovación para resolver los retos más complejos que hacen que nuestros clientes sigan confiando en nosotros. Sin olvidar nuestros valores y con la experiencia que nos aportan nuestro proyectos, nos hemos consolidado como una de las mejores consultoras españolas del mercado. 

Actualmente, estamos presentes en los principales sectores de actividad:  Banca, Seguros, Industria, Salud, Sector Público y Real State, donde ofrecemos servicios de consultoría de negocio, desarrollo de soluciones sectoriales específicas y servicios gestionados. Nuestra oferta de soluciones es muy amplia: Analítica de Datos, Reporting y Self Service, Visualización de Datos, Datawarehouse & Datamarts, Big Data, Calidad de Datos, Plataformas Tecnológicas, Desarrollo Web & eCommerce, CRM, BPM, Apps & Movilidad, Gamificación, Georeferenciación, Experiencia de usuario, Contenido y Colaboración, IT & Cloud Computing y Seguridad.",Unknown,201-500 empleados,"214 en LinkedIn
Incluye los miembros que han indicado a ÁlamoConsulting como empresa actual (también a los que tienen un puesto a media jornada).","Consultoría de negocio, Business Intelligence, Desarrollo de aplicaciones, CRM, Reporting regulatorio, Desarrollo móvil, Márketing digital y Desarrollo web",http://www.alamoconsulting.com,Unknown
5,https://www.linkedin.com/company/keyrus/,Keyrus,"Especialista en Data Intelligence, Digital Strategy y Management Consulting, Keyrus se dedica a ayudar a empresas a tomar ventaja del paradigma de los datos y los contenidos digitales para mejorar su rendimiento, facilitar y acelerar su transformación y generar nuevos motores de crecimiento y competitividad.

Al situar la innovación en el centro de su estrategia, Keyrus desarrolla una propuesta de valor que es única en el mercado y que gira en torno a una oferta innovadora fundada en sus tres áreas de experiencia:

• Data Intelligence
Data Science – Artificial Intelligence – Big Data & Cloud Analytics – Business Intelligence – EIM – CPM/EPM

• Digital Experience
Innovation & Digital Strategy – Digital Marketing – DMP & CRM – Digital Commerce – Digital – Performance – User Experience

• Management & Transformation: 
Strategy & Innovation – Digital Transformation – Performance Management – Project Support. 

Fundada en 1996 por Eric Cohen, el actual Director Ejecutivo, Keyrus cuenta con más de 3.000 empleados y presencia en 19 países en cuatro continentes. 
La empresa inició sus actividades en América Latina en 1998 y hoy cuenta con alrededor de 700 empleados en esta región. 

Keyrus tiene operaciones agnósticas y alianzas con empresas de tecnología de renombre, como Alteryx, AWS, Google, IBM, Microsoft, Qlik, SAP, SAS y Tableau. Para obtener más información, visite www.keyrus.com/co/. ","Management & Transformation, Data Intelligence y Digital Experience",1001-5000 empleados,"2387 en LinkedIn
Incluye los miembros que han indicado a Keyrus como empresa actual (también a los que tienen un puesto a media jornada). También incluye a los empleados de filiales: Keyrus Capital Markets,Impetus Consulting Group (now Keyrus EPM Americas),KADRIS Consultants y 2 más.",1996,https://keyrus.com/,Unknown
6,https://www.linkedin.com/company/bcwespana/,BCW España,"En BCW (Burson Cohn&Wolfe) entendemos  a las personas. Desde un enfoque analítico, añadimos creatividad y emoción para conectar los objetivos de nuestros clientes con las personas y la sociedad. 

Porque, en definitiva, si puedes inspirar, motivar y movilizar a las personas, tu negocio, independientemente de su naturaleza, crecerá.

Esto es Moving People. 
Y lo hacemos en BCW.",2018,Servicios de relaciones públicas y comunicaciones,51-200 empleados,"Madrid y Barcelona, España",http://www.bcw-global.com,91 384 67 00
7,https://www.linkedin.com/company/neteris-consulting/,Neteris Consulting,"Compañía altamente experimentada en proyectos de implementación de soluciones de gestión empresarial y transformación digital. Conscientes del cambio de paradigma que la tecnología está provocando a nivel global, dedica todos sus recursos a conseguir que las organizaciones entiendan su impacto e identifiquen aquellos procesos de negocio afectados, o bien los nuevos que surgen como consecuencia del propio cambio, para que pongan en marcha las iniciativas de transformación necesarias que les permitan competir en el nuevo escenario digital.

Actualmente tiene oficinas en Madrid, Málaga, y A Coruña en las que se reparten sus más de 80 consultores especializados, los cuales disfrutan en un entorno moderno y adaptado a fomentar la creatividad y la búsqueda de las mejores soluciones para sus clientes, algo que les ha valido para obtener la calificación de Best Workplace España 2019 y el Certificado Great Place to Work España 2018, reconocimientos que acreditan a la compañía como un Excelente Lugar para Trabajar.

Neteris cuenta con proyectos internacionales, y una dilatada experiencia en grandes cuentas y la confianza de más de 150 clientes alrededor del mundo, reforzando la calidad de sus servicios y ampliando enormemente su portfolio de soluciones Cloud en SaaS, PaaS e IaaS.

No importa en qué etapa de su transición al Cloud esté, podemos ayudarle. Para más información póngase en contacto con nosotros a través de marketing@neteris.com o visite neteris.com 

Síguenos en:

Twitter: https://twitter.com/neteris_company
Facebook: https://www.facebook.com/neteris/
Instagram: @neteris_oficial
Youtube: https://www.youtube.com/channel/UC-ZYObqoWVu61PQs12oJjHg","JD Edwards, Business Intelligence, Oracle Database Technologies, Cloud Computing, Webcenter, ERP, BI, Optimización de Procesos, Aplicaciones, Soluciones Tecnológicas, EPM, BPM, Outsourcing, IoT, Industria 4.0, Cloud, Movilidad, Big Data, Digitalización, IaaS, SAP Business ByDesign, RPA, Analytics y Automatización de Procesos",51-200 empleados,"77 en LinkedIn
Incluye los miembros que han indicado a Neteris Consulting como empresa actual (también a los que tienen un puesto a media jornada).",2008,https://neteris.com,Unknown
8,https://www.linkedin.com/company/sectorea-headhunter-services/,Sectorea IT,"Sectorea nace con la clara intención de ser un referente nacional e internacional aportando soluciones que vinculan la tecnología con las personas. El sector IT necesita profesionales altamente cualificados que aporten a sus proyectos nuevas ideas, motivación, pasión y experiencia. En Sectorea damos a nuestros clientes y a nuestras personas la confianza que necesitan para emprender grandes proyectos y aprovechar nuevas oportunidades.

EN SECTOREA TECNOLOGÍA Y TALENTO ESTÁN UNIDOS NECESARIAMENTE

Las personas que dais vida a los proyectos y a las empresas,  sois lo más importante, vuestro talento debe aportar valor y seguir desarrollándose, por eso en Sectorea vamos a ayudaros a dar el salto,  encontrando el proyecto más adecuado a tus conocimientos y experiencias, con las mejores condiciones posibles, asegurando confidencialidad, tratamiento personalizado, contacto directo y dando un servicio profesional y de confianza.

Somos especialistas en tecnología, sabemos qué personas necesitan y qué tecnologías deben dominar para aportar valor a los proyectos. Nos encargamos de las personas, el desarrollo y la dirección técnica.

Si lo que necesita es un equipo de expertos técnicos en cualquier tecnología, podemos ayudarles poniendo a su disposición el equipo necesario para emprender un nuevo proyecto, darles soporte especializado o participar en sus proyectos activos.

Participamos como socios estratégicos proporcionando un servicio integral que incluye el diseño y la gestión completa del proceso de selección (Captación, selección y cierre).

Colaboramos con las principales entidades del país, ayudándoles como Business Partner en la transformación digital.","Headhunter Services, Selección IT, IT Services, Big Data, Scala, Python, Java, Spring, Restful, Blockchain, Heroku, jHispter, AngularJS, Bots, QA, Fullstack, Salesforce, Management, Devops, PaaS, SaaS, IaaS, Digital, Akka, Scrum, TDD, GIT, IOS, Android, Front end, Back end, RPO, DESARROLLO SW, HEADHUNTING, Go, Microservicios, Boot, QA, Ciberseguridad, Django, Proyectos a Medida, Integración Continua, Formación IT y Spark",11-50 empleados,"45 en LinkedIn
Incluye los miembros que han indicado a Sectorea IT como empresa actual (también a los que tienen un puesto a media jornada).",2009,http://www.sectorea.com,
9,https://www.linkedin.com/company/ampstek/,Ampstek,"Ampstek supplies thousands of tech and digital professionals annually to a range of clients through its offices which spread across in 42 countries. From simple beginnings in 2014, Ampstek has always been on a journey to reinvent the world of recruitment through creating amazing customer and candidate experiences driven by a genuine desire to build long term relationships and outcomes. This motivation to break from the pack is stronger than ever as we roll out Ampstek Power globally, an innovative life hub platform for freelancers based around rewarding loyalty and providing a range of professional and personal wellbeing programs.

AmpsTek is an global information technology consulting company with its headquarters in Princeton,NJ,USA and has a global presence spanning 40 countries across USA,Australia,NZ,Singapore,Malaysia,Canada,CostaRica,Mexico,UK,Germany,France,Sweden,Denmark,Austria,Belgium,Netherlands,Romania,Poland,Hungary,Spain,Czech,Bulagaria,Ireland,Norway,Croatia,Slovakia,Portuagl,Switzerland,Greece,Phillipines,Vietnam,Thailand,Indonesia,Srilanka,India,Southkorea,Taiwan,Hongkong, Southafrica, UAE, Turkey

At Ampstek we see community impact and legacy as vital to our business, which is why we tackle social bias and attitudes. We provide employment opportunities for young people experiencing barriers to employment, and programs like 100% Human at Work promoting the importance of diversity, equality and respect in the workplace. 
We look to lead the way so we’re delighted to have our efforts acknowledged with  awards globally in the last few years from the likes of LinkedIn, EY, Deloitte, who recognised Ampstek as one of the Top 30 companies in the world to work based on employee engagement.

Our specialist areas include:
Microsoft Dynamics
Azure
Mobile (IOS & Android) Development
SAP,ERP
Big Data and Business Intelligence
Business Analysis, QA & Testing
Solution Design &  Architecture
Network and Application Security
Cloud Hosting & DevOp’s Engineers",2014,Servicios de TI y consultoría de TI,1001-5000 empleados,"Princeton, NJ",https://www.ampstek.com,6097853232
